USE_CMS,USE_TMS,USE_STMS,USE_ITS,USE_SWC,USE_FPC,USE_CCL,USE_IR,USE_PCR,USE_WALC,USE_EMS,USE_VPN,USE_AORO,USE_ERPSS,USE_CWS,IMP_CMS,IMP_CMSS,IMP_TMS,IMP_STMS,IMP_ITS,IMP_SDAV,IMP_SWC,IMP_TSSR,IMP_TSSSR,IMP_SSCN,IMP_FPC,IMP_CFCPS,IMP_SICP,IMP_SDB,IMP_CCL,IMP_IR,IMP_LCS,IMP_PCR,IMP_AWAC,IMP_PWAC,IMP_EMS,IMP_EMSF,IMP_VP,IMP_VPN,IMP_AORO,IMP_ERPSS,IMP_CWS,IMP_SII,IMP_ICDA,IMP_OCS,IMP_OLS,DS_CMS,DS_CMSS,DS_TMS,DS_STMS,DS_ITS,DS_SDAV,DS_SWC,DS_TSSR,DS_TSSSR,DS_SSCN,DS_FPC,DS_CFCPS,DS_SICP,DS_SDB,DS_CCL,DS_IR,DS_PCR,DS_AWAC,DS_PWAC,DS_EMS,DS_EMSF,DS_VP,DS_VPN,DS_AORO,DS_ERPSS,DS_CWS,DS_ICDA,DS_OCS,DS_OLS,INF_ATS,INF_CDCN,INF_CERPS,INF_CITN,INF_SSD,DAHD_F,DAHD_K,DAHD_RL,DAHD_RS,DAERPS_F,DAERPS_K,DAERPS_RL,DAERPS_RS,DAIT_F,DAIT_K,DAIT_RL,DAIT_RS,DAASC_F,DAASC_K,DAASC_RL,DAASC_RS,DAMMS_F,DAMMS_K,DAMMS_RL,DAMMS_RS,AP_CMS,UAP_IOUC,UAP_LC,UAP_OQ,OWN_LC,OWN_PDA,OWN_EBR,OWN_T,SKL_CMS,SKL_TMS,LRN_ERP,LRN_CMS,LRN_TMS,LRN_WP,LRN_SS,LRN_PP,LRN_WCT,LRN_G,LRN_V,LRN_OS,LRN_BUD,LRN_PIRO,LRN_OOO,LRN_WTS,LRN_SDD,LRN_SDOT,Year started,FTIME,RANK,TEN,ADIV,SEX,AGE
5.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,,5.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,3.0,3.0,4.0,3.0,4.0,,4.0,4.0,4.0,,3.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,4.0,4.0,4.0,4.0,,,,,4.0,4.0,4.0,4.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2011,Yes,Assistant Professor,"Tenured Track, but not Tenure",College of Arts and Humanities,Male,52
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,,,,,,,4.0,4.0,4.0,4.0,4.0,,,,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1989,No,Other,Not on Tenure,College of Business,Female,62
5.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,5.0,1.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,,3.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2017,Yes,Associate Professor,Tenured,College of Arts and Humanities,Female,62
5.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,,,,,,,,,2.0,,3.0,,,,,1.0,1.0,2.0,1.0,2.0,,3.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2011,Yes,Associate Professor,Tenured,College of Business,Female,37
2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,3.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,,,1.0,2.0,4.0,4.0,4.0,4.0,2.0,,,4.0,4.0,4.0,2.0,2.0,3.0,,3.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,,,,,,,,,,,,,4.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,2006,Yes,Associate Professor,Tenured,College of Education and Social & Behavioral Sciences,Female,57
3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,,,,,3.0,4.0,4.0,4.0,,,,,4.0,4.0,4.0,4.0,4.0,,,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2011,No,Intructor/Lecturer,Not on Tenure,College of Arts and Humanities,Female,37
4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,,2.0,3.0,4.0,4.0,4.0,4.0,4.0,,4.0,,,3.0,3.0,4.0,3.0,3.0,,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2014,Yes,Professor,Tenured,College of Business,Female,77
5.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,5.0,1.0,5.0,5.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,,,,,,3.0,,,3.0,3.0,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,1995,No,Intructor/Lecturer,Not on Tenure,College of Business,Male,57
2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,,,1.0,1.0,1.0,2.0,1.0,,3.0,2.0,2.0,2.0,2.0,,,,3.0,3.0,3.0,3.0,3.0,4.0,,,4.0,,,3.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2013,No,Intructor/Lecturer,Not on Tenure,College of Business,Female,47
5.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,,,1.0,,2.0,3.0,3.0,3.0,3.0,1.0,,3.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,,2.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,4.0,3.0,3.0,4.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2012,Yes,Associate Professor,Tenured,College of Business,Male,62
